0	0	0
0	0.0833333	0
0	0.166667	0
0	0.25	0
0	0.333333	0
0	0.416667	0
0	0.5	0
0	0.583333	0
0	0.666667	0
0	0.75	0
0	0.833333	0
0	0.916667	0
0	1	0
0.166667	0	0
0.166667	0.0833333	0.417155
0.166667	0.166667	0.94111
0.166667	0.25	1.66362
0.166667	0.333333	2.76518
0.166667	0.416667	4.37035
0.166667	0.5	6.72784
0.166667	0.583333	9.87438
0.166667	0.666667	13.6466
0.166667	0.75	16.7493
0.166667	0.833333	15.4725
0.166667	0.916667	0
0.166667	1	231.874
0.333333	0	0
0.333333	0.0833333	0.42098
0.333333	0.166667	0.9335
0.333333	0.25	1.6749
0.333333	0.333333	2.75064
0.333333	0.416667	4.38743
0.333333	0.5	6.70949
0.333333	0.583333	9.89245
0.333333	0.666667	13.6308
0.333333	0.75	16.7612
0.333333	0.833333	15.4662
0.333333	0.916667	0
0.333333	1	231.874
0.5	0	0
0.5	0.0833333	3.90282e-06
0.5	0.166667	1.30241e-05
0.5	0.25	1.48284e-05
0.5	0.333333	3.30999e-05
0.5	0.416667	3.21996e-05
0.5	0.5	5.71825e-05
0.5	0.583333	4.75449e-05
0.5	0.666667	6.34753e-05
0.5	0.75	3.91737e-05
0.5	0.833333	2.90978e-05
0.5	0.916667	0
0.5	1	3.27893e-14
0.666667	0	0
0.666667	0.0833333	-0.420935
0.666667	0.166667	-0.93343
0.666667	0.25	-1.67474
0.666667	0.333333	-2.75046
0.666667	0.416667	-4.3871
0.666667	0.5	-6.70917
0.666667	0.583333	-9.89199
0.666667	0.666667	-13.6304
0.666667	0.75	-16.7608
0.666667	0.833333	-15.466
0.666667	0.916667	0
0.666667	1	-231.874
0.833333	0	0
0.833333	0.0833333	-0.416945
0.833333	0.166667	-0.940523
0.833333	0.25	-1.66286
0.833333	0.333333	-2.76375
0.833333	0.416667	-4.36877
0.833333	0.5	-6.72545
0.833333	0.583333	-9.87212
0.833333	0.666667	-13.644
0.833333	0.75	-16.7475
0.833333	0.833333	-15.4713
0.833333	0.916667	0
0.833333	1	-231.874
1	0	0
1	0.0833333	0.00142487
1	0.166667	0.00253342
1	0.25	0.0050298
1	0.333333	0.00631074
1	0.416667	0.0099981
1	0.5	0.0108958
1	0.583333	0.013951
1	0.666667	0.01239
1	0.75	0.0113099
1	0.833333	0.00584808
1	0.916667	0
1	1	-6.55786e-14
1.16667	0	0
1.16667	0.0833333	0.422622
1.16667	0.166667	0.954551
1.16667	0.25	1.68329
1.16667	0.333333	2.79796
1.16667	0.416667	4.41089
1.16667	0.5	6.78394
1.16667	0.583333	9.93379
1.16667	0.666667	13.7112
1.16667	0.75	16.8
1.16667	0.833333	15.5036
1.16667	0.916667	0
1.16667	1	231.874
1.33333	0	0
1.33333	0.0833333	0.444323
1.33333	0.166667	0.979562
1.33333	0.25	1.75841
1.33333	0.333333	2.86725
1.33333	0.416667	4.56067
1.33333	0.5	6.92137
1.33333	0.583333	10.1547
1.33333	0.666667	13.8941
1.33333	0.75	16.9976
1.33333	0.833333	15.6028
1.33333	0.916667	0
1.33333	1	231.874
1.5	0	0
1.5	0.0833333	0.0693135
1.5	0.166667	0.158733
1.5	0.25	0.256306
1.5	0.333333	0.410013
1.5	0.416667	0.567914
1.5	0.5	0.785028
1.5	0.583333	0.949316
1.5	0.666667	1.07006
1.5	0.75	0.972474
1.5	0.833333	0.623811
1.5	0.916667	0
1.5	1	9.83679e-14
1.66667	0	0
1.66667	0.0833333	-0.228318
1.66667	0.166667	-0.520643
1.66667	0.25	-0.943466
1.66667	0.333333	-1.61437
1.66667	0.416667	-2.65673
1.66667	0.5	-4.27913
1.66667	0.583333	-6.62663
1.66667	0.666667	-9.70719
1.66667	0.75	-12.706
1.66667	0.833333	-12.5705
1.66667	0.916667	0
1.66667	1	-231.874
1.83333	0	0
1.83333	0.0833333	0
1.83333	0.166667	0
1.83333	0.25	0
1.83333	0.333333	0
1.83333	0.416667	0
1.83333	0.5	0
1.83333	0.583333	0
1.83333	0.666667	0
1.83333	0.75	0
1.83333	0.833333	0
1.83333	0.916667	0
1.83333	1	-231.874
2	0	0
2	0.0833333	0
2	0.166667	0
2	0.25	0
2	0.333333	0
2	0.416667	0
2	0.5	0
2	0.583333	0
2	0.666667	0
2	0.75	0
2	0.833333	0
2	0.916667	0
2	1	-1.31157e-13
